model,accuracy,precision,recall,f1,roc_auc
SVM,0.7868852459016393,0.7941176470588235,0.8181818181818182,0.8059701492537313,0.9101731601731602
LogisticRegression,0.819672131147541,0.84375,0.8181818181818182,0.8307692307692308,0.9036796536796536
RandomForest,0.7868852459016393,0.75,0.9090909090909091,0.821917808219178,0.8961038961038961
KNN,0.8032786885245902,0.7837837837837838,0.8787878787878788,0.8285714285714286,0.8879870129870131
AdaBoost,0.8032786885245902,0.8,0.8484848484848485,0.8235294117647058,0.8679653679653679
GradientBoosting,0.7540983606557377,0.7368421052631579,0.8484848484848485,0.7887323943661971,0.8365800865800865
DecisionTree,0.7213114754098361,0.7105263157894737,0.8181818181818182,0.7605633802816901,0.7516233766233766
